,heart1,noise1,muscskel1,heart2,organs1,organs2,msucskel2,muscskel3,heart3,bladder1,organs3,bladder2,organs4,organs5,muscskel4,heart4,muscskel5,organs6,organs7,organs8
2,7.8926575891673565,8.23593311701273,8.39232369132348,5.561175208538771,29.723114419728518,1.8941063027122702,1.2742498809522955,3.9836041421029513,13.528918463736773,0.05445633416134399,5.970756209137118,0.25864776328115546,1.1828011803008769,16.602431692183018,10.429365385124806,3.142164332792163,5.156078926212584,3.1727746094826657,8.943050784990191,27.549580068327487
3,9.64491155743599,11.6190441399941,20.182937106124022,8.246061105281115,13.917962500359863,5.479211629237398,5.148271913783078,17.941620629331737,7.101037850603461,0.16491581204715722,4.565691898332147,0.407253448207781,4.354715205553653,4.960862826555967,14.762863644306247,3.7231888938695192,8.848063425117582,11.605833722249372,6.7265541004016995,14.409282396547496
4,6.370803434401751,12.191758975334325,23.375451621477623,6.150362370535731,9.073593007866293,6.767803504990297,6.767162400385083,20.82772014060174,5.15561112947762,0.2216263595019215,4.305522825354899,0.4946758007384018,5.334440238280703,3.3205404761247337,16.64331620229426,3.173971922136843,10.141398613305611,15.57115255878307,5.296490418724716,9.415074951131828
5,6.1823415625840425,13.707781932546837,24.716121766097785,6.054556475952268,9.162930009420961,7.608969595021335,7.650216267325054,22.698050282720942,5.425873018801212,0.18047682144282362,4.743191796594265,0.5521489945747282,5.993024844260454,3.429153672652319,17.788246556501228,3.215780984610319,10.925555578610727,18.135244098026305,5.44579790905118,9.227010534144938
6,6.499653300270438,18.967048297954058,28.588659999956874,6.279332874342799,9.97839278052561,8.83951089429626,9.013378086065034,25.929897474881727,6.012173952534795,0.2531427697207036,6.127359305102743,0.6013155190491677,6.947347420283251,3.7717345422133803,20.644342564709916,3.5367400348186493,12.450143264959708,20.866820842027664,6.046023369766772,9.871605821477715
7,5.235168284177781,18.248977268685532,23.2679505087551,5.102084904909133,8.11341987848281,7.3192793689668125,7.834979918937414,21.601564611680804,4.757232692837714,0.20719437909200447,5.229987358615474,0.46851072966464924,5.86282017532794,3.338765367865564,16.807072226398795,2.8033738464117053,10.519295674518197,17.10210391134023,4.9454792886972445,8.008176093967627
8,5.107683134078977,19.062582559450274,22.856475521647393,4.873739992082122,8.265765590220678,7.226818494033069,7.800320502940351,21.716577942296876,4.643997326493263,0.13002861009265698,5.707722208171104,0.3933409281192014,5.629775894679549,3.1910476088523883,16.908968508121692,2.778429909795524,10.884651209448982,16.952161042392262,4.894853577017784,8.004392932355398
9,5.383572164177897,21.419976015006498,24.2137157401536,4.9816762983799,8.974285940825926,7.713002576585855,7.949017920148741,22.86921818936244,4.82578581571579,0.10062173950461785,6.133907625288769,0.3641803101651702,6.076704519320498,3.557316850870848,18.25056351804958,2.7995957605540753,11.99123961297528,17.6195981942117,5.064128119498493,8.503559464029951
10,5.614510455727576,24.41715721680146,26.440895617945376,5.4083476185798665,9.571576466783881,8.333150781318547,9.173006193971636,25.174019751139035,5.041473273932936,0.13009550617150584,7.165976495964422,0.3684568495141065,6.605095886636981,3.6803791865706454,19.5879452237848,3.0301442615687857,12.902881647437347,19.18805009275673,5.509803855419162,9.289401793829164
11,5.84228792190552,25.848939488185387,27.91309788813812,6.037311178445817,9.664220896735781,9.639479092508546,10.578117185004592,28.16293295156216,5.160597530007362,0.17006052551626855,8.108049834118,0.4861376348959283,7.659663046282736,3.7637168601155295,20.666553032229828,3.3177267730236064,13.647647627152537,21.070417408645117,5.753786240518093,9.692408922873433
